id,course_name
55,Severe to Profound Intellectual Disability: Circles of Care and Education
56,Teaching Children with Visual Impairment: Creating Empowering Classrooms
57,Intercultural Communication and Conflict Resolution
58,Prediction and Control with Function Approximation
59,Advanced Neurobiology I
60,Foundations of Teaching for Learning: Introduction
61,Change Leadership: Developing Force Field Analysis in Miro
63,Python Tricks and Hacks for Productivity
64,Privacy in the USA
65,Japanese for beginners 2
66,Introduction to Recommender Systems:  Non-Personalized and Content-Based
67,Global Disease Masterclass: Global Disease Distribution
68,Age of Cathedrals
69,Smart Contracts
70,Create an FPS Weapon in Unity (Part 1 - Revolver)
71,Homeland Security and Cybersecurity Future
72,Healthcare Consumerism and Implication for Care Delivery
73,Magna Carta and its Legacies: Freedom and protest
74,Converter Circuits
75,Predictive Modeling and Analytics
76,Animals and Institutions
78,Genetics and Society: A Course for Educators
79,Russian History: from Lenin to Putin
80,Packet Switching Networks and Algorithms
81,Transgender Medicine for General Medical Providers
82,Epigenetic Control of Gene Expression
83,Successful Interviewing
84,The hidden value � Lean in manufacturing and services
85,Mastering SQL Joins
86,Create a Database with the Modeling Tool in MySQL Workbench
87,Project Planning and Machine Learning
88,Build Random Forests in R with Azure ML Studio
89,"Introduction to CAD, CAM, and Practical CNC Machining"
90,Problem Solving Using Computational Thinking
91,"Surveillance Systems: Analysis, Dissemination, and Special Systems"
92,Control physics with C# in Unity
93,Create Relational Database Tables Using SQLiteStudio
94,Spacecraft Dynamics Capstone: Mars Mission
95,Guided Imagery
96,Making Architecture
97,Building Resilient Streaming Analytics Systems on GCP
98,Types of Conflict
99,Product Design: Designing a modern table lamp using SketchUp
100,Beyond the Sustainable Development Goals (SDGs): Addressing Sustainability and Development
101,The New Nordic Diet - from Gastronomy to Health
102,Voice Disorders: What Patients and Professionals Need to Know
103,Teaching Tips for Tricky English Grammar
104,"Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration"
105,Business Writing
106,Cyber Threats and Attack Vectors
107,Build a Table Layout App in Android Studio
109,Designing for Sustainment: Keeping Improvement Work on Track (Patient Safety IV)
110,Big data and Language 2
111,Understanding the Australian economy: An introduction to macroeconomic and financial policies
112,Bayesian Statistics: Mixture Models
113,Networking and Security in iOS Applications
114,Improving Math Engagement with Prodigy
115,Molecular Evolution (Bioinformatics IV)
116,Exception Handling in Python
117,FinTech Foundations and Overview
118,Information & Digital Literacy for University Success
119,Improving Classroom Management with Class Dojo
120,Managing Big Data with MySQL
121,"Risk, Return & Valuation"
122,Managing Employee Performance
123,Channel Management and Retailing
124,Entrepreneurship II: Preparing for Launch
125,World Design for Video Games
126,Mathematics for Machine Learning: Linear Algebra
127,Free Speech on Campus Teach-Out
128,Real-Time Embedded Systems Concepts and Practices
129,Create a Virtual Classroom using Google Slides
130,Security and Privacy for Big Data - Part 1
131,"Disinformation, Misinformation, and Fake News Teach-Out"
132,Teaching Intermediate Grammar Project
133,Introduction to Acoustics (Part 2)
134,Qualitative Research Methods
135,The Rooseveltian Century
136,Analysis for Business Systems
137,Implementing SOLID Principles in C# with .NET Core
138,"History of Rock, Part Two"
139,Device-based Models with TensorFlow Lite
140,Wireshark for Basic Network Security Analysis
141,Advanced Practice Provider/Physician Assistant: Opioid Use Disorder Medication Assisted Treatment Waiver Training (24hr)
142,Setting Expectations & Assessing Performance Issues
143,Tracking Student Growth using Google Slides
144,The Teacher's Social and Emotional Learning
145,Beyond Silicon Valley: Growing Entrepreneurship in Transitioning Economies
146,The fundamentals of hotel distribution
148,Bugs 101: Insect-Human Interactions
149,Analyze Website Visitors with Google Analytics Segments
150,Scandinavian Film and Television
151,Modern American Poetry
152,"Textual Elements of Design: Fonts, Typography, and Spacing"
153,Marketing Analytics Capstone Project
154,Tell the Data Story with Survey Graphics in Google Slides
155,"Musicianship: Tensions, Harmonic Function, and Modal Interchange"
156,User Experience Responsive Hero in XD for Beginners
157,"Internet History, Technology, and Security"
158,Securing Digital Democracy
159,Guided Imagery
160,Teach English Now! Capstone Project 1
161,Teach English Now! Capstone Project 1
162,Our Energy Future
163,"Penetration Testing, Incident Response and Forensics"
164,Building Resilient Streaming Analytics Systems on GCP
165,Web Application Development with JavaScript and MongoDB
166,Teaching Impacts of Technology: Global Society
167,Subsistence Marketplaces
168,Introduction to Game Design
169,Business Process Management in Healthcare Organizations
170,Career Planning:  A Pathway to Employment
171,Marketing Strategy for Entrepreneurs
172,"Sleep: Neurobiology, Medicine, and Society"
173,Building Containerized Applications on AWS
174,Engagement & Nurture Marketing Strategies
175,When Disaster Meets Conflict
176,Introduction to Git and GitHub
177,Palo Alto Networks Cybersecurity Essentials II
178,Introduction to the Internet of Things and Embedded Systems
179,Using Python to Interact with the Operating System
180,Portfolio Optimization using Markowitz Model
181,Securing and Integrating Components of your Application
182,Construction Finance
183,The Finite Element Method for Problems in Physics
184,Russian company law. Formation of legal entities.
185,Forensic Accounting and Fraud Examination
186,Data Analytics Foundations for Accountancy I
187,Complex Retrieval Queries in MySQL Workbench
188,Standardisation & Technology
189,Precalculus: Mathematical Modeling
190,Account Management & Sales Force Design
192,Taxation of Business Entities II: Pass-Through Entities
193,Cancer Prevention Web-Based Activity
194,Engineering Design Process with Autodesk Fusion 360
195,Genomics for Law
196,Master Class for Corporate Entrepreneurs
197,AWS Elastic Beanstalk:Deploy a Python(Flask) Web Application
198,"Fundamentals of Business Finance, with Goldman Sachs 10,000 Women"
200,International Cyber Conflicts
201,App Design and Development for iOS
202,Introduction to the Arctic: Climate
204,Pharmaceutical and Medical Device Innovations
205,Software Product Management Capstone
206,Data-driven Astronomy
207,Basics of Inclusive Design for Online Education
208,"Making Successful Decisions through the Strategy, Law & Ethics Model"
209,Achieving Advanced Insights with BigQuery
211,Text Retrieval and Search Engines
212,Build a Twitter Clone Backend
213,Introduction to Ableton Live
214,Introduction to Ableton Live
215,Environmental Management & Ethics
216,Create a Buy Signal using RSI in R with the Quantmod Package
217,Seeing Through Photographs
218,Ebola: Essential Knowledge for Health Professionals
219,Excel Skills for Business: Intermediate II
220,"Understanding China, 1700-2000: A Data Analytic Approach, Part 1"
221,Statistical Data Visualization with Seaborn
222,Professional Responsibility and Ethics for Accountants
223,Technical Writing
224,Hosting a Static Website (HTML/CSS/Javascript) in AWS S3
226,API Design and Fundamentals of Google Cloud's Apigee API Platform
227,Data Analysis Using Pyspark
228,Introduction to Environmental Law and Policy
229,FPGA computing systems: Background knowledge and introductory materials
230,Researcher Management and Leadership Training
231,Introduction to TestNG and Integration with Selenium
232,Food & Beverage Management
233,Reproducible Research
234,Reproducible Research
235,Cyber Attack Countermeasures
236,Matrix Methods
237,"Penetration Testing, Incident Response and Forensics"
238,Easing Physical Symptoms: It's Not Just Hospice Anymore
239,Hierarchical Clustering: Customer Segmentation
240,"Applied Plotting, Charting & Data Representation in Python"
241,Deploy Models with TensorFlow Serving and Flask
242,Sport Sponsorship. Let them Play
243,Strategies for Teaching Perfect Tenses and Modals
244,Building Cloud Services with the Java Spring Framework
245,Social Media Management
246,Successful Career Development
247,Design Patterns
248,Psychology of Popularity
249,Collaborative Foresight: How to Game the Future
250,Create UI in Unity Part 3 - Settings Menu
251,Autodesk Certified Professional: Inventor for Mechanical Design Exam Prep
252,"Urban Nature: Connecting Cities, Nature and Innovation"
253,Content Strategy for Professionals: Expanding Your Content�s Reach
254,Advanced Search Engine Optimization Strategies
255,Experimental Design Basics
256,The Art of Music Production
257,The Art of Music Production
258,Leading Positive Change through Appreciative Inquiry
259,Sales Training: Techniques for a Human-Centric Sales Process
260,Doing Clinical Research: Biostatistics with the Wolfram Language
261,Quantitative Research
262,Create Informative Presentations with Google Slides
263,Introduction to Biomedical Engineering
264,Introduction to Accounting Data Analytics and Visualization
265,Manufacturing Process with Autodesk Fusion 360
266,Introduction to Game Development
268,Java for Android
269,Public Economics
270,Introduction to Algae
271,A Journey through Western Christianity: from Persecuted Faith to Global Religion (200 - 1650)
272,Game-Theoretic Solution Concept with Spread Sheets
273,Survival Analysis in R for Public Health
274,Collegiate Esports and Career Planning
275,Learn to Program: Crafting Quality Code
276,Materials Data Sciences and Informatics
277,Nutrition and Lifestyle in Pregnancy
278,Sustainable Agricultural Land Management
279,Microservices with Spring Boot
280,Lecture Series for Preventing and Controlling COVID-19
281,The Dynamic Earth: A Course for Educators
282,Requirements Specifications: Goals and Conflict Analysis
283,Marketing Design with Easil
284,Hands-on Text Mining and Analytics
285,Statistical Mechanics: Algorithms and Computations
286,Introduction to Data Analysis Using Excel
287,The Place of Music in 21st Century Education
288,Developing AI Applications on Azure
289,Hiring and Onboarding Employees with ClickUp
290,African cities : An Introduction to Urban Planning
291,iOS Project: Transreality Game
292,Designing Your Personal Weight Loss Plan
293,Advanced Writing
294,"Doping : Sports, Organizations and Sciences"
295,Introduction to Python
296,Challenges of Agribusiness Management
297,Cost and Economics in Pricing Strategy
298,Economic Growth and Distributive Justice Part I -The Role of the State
299,Encryption And Decryption Using C++
300,Real-Time Mission-Critical Systems Design
301,"Android App Components - Services, Local IPC, and Content Providers"
302,VR and 360 Video Production
303,RPA Lifecycle: Development and Testing
304,Methods of Surface Analysis
305,Startups in open innovation
307,"Blockchain, Cryptoassets, and Decentralized Finance"
308,Data Processing Using Python
309,International Law in Action: the Arbitration of International Disputes
310,Applied Text Mining in Python
311,Engaging ELLs and Their Families in the School and Community
312,Serve Scikit-Learn Models for Deployment with BentoML
313,Making Sense of the News: News Literacy Lessons for Digital Citizens
314,Astro 101: Black Holes
315,Patenting in Biotechnology
316,Evaluating Designs with Users
317,Capstone Project � Analyzing a Real Transaction
318,Create Charts and Dashboard using Google Sheets
319,Use Commands and Create a Remote Git Repository
320,Advanced Modeling for Discrete Optimization
321,Command Line in Linux
322,Principles of Secure Coding
323,Introduction to Public Health Engineering in Humanitarian Contexts
324,The Development of Mobile Health Monitoring Systems
325,3D Printing Software
327,Building Custom Regional Reports with Google Analytics
328,Developing a Google SRE Culture
329,Conflict Resolution Skills
330,Building a Data Science Team
331,"S�ren Kierkegaard - Subjectivity, Irony and the Crisis of Modernity"
332,Design Thinking and Global Startup
333,Design and Analyze Secure Networked Systems
334,"Mechanics: Motion, Forces, Energy and Gravity, from Particles to Planets"
335,Predictive Analytics and Data Mining
336,"Anatomy of the Chest, Abdomen, and Pelvis"
337,Database Design and Diagramming in Dia
338,A Complete Reinforcement Learning System (Capstone)
339,Private Equity and Venture Capital
340,Memoir and Personal Essay: Managing Your Relationship with the Reader
341,Fundamentals of Immunology: T Cells and Signaling
342,Game Theory with Python
343,Data Science at Scale - Capstone Project
344,Social Media Advertising
345,Photography Capstone Project
346,The Wonders and Challenges of Bible Education
347,"Functions, Methods, and Interfaces in Go"
348,Search Advertising
349,On Strategy : What Managers Can Learn from Philosophy - PART 1
351,H�tel �De l'�toile� - a hotel in crisis?
352,Leading People and Teams Capstone
353,Corporate Finance I: Measuring and Promoting Value Creation
354,TCP/IP and Advanced Topics
355,Natural Language Processing with Probabilistic Models
356,Renewable Energy and Green Building Entrepreneurship
357,Surveillance Systems: The Building Blocks
358,"Anticipating Your Next Battle, in Business and Beyond"
359,Getting Started With Application Development
360,Global Arctic
361,"Sampling People, Networks and Records"
362,Mindware: Critical Thinking for the Information Age
363,Precision Medicine
365,Digital Marketing Capstone
366,Understanding Plants - Part II: Fundamentals of Plant Biology
367,Linux Tools for Developers
370,Career 911: Your Future Job in Medicine and Healthcare
371,Business Application of Machine Learning and Artificial Intelligence in Healthcare
372,Journeys to Education Teach-Out
373,The Product Lifecycle: A Guide from start to finish
374,Startup Valuation Methods
375,Innovation & Entrepreneurship - From Design Thinking to Funding
376,TensorFlow for CNNs: Transfer Learning
377,Introduction to Probability and Data with R
378,Calculating Descriptive Statistics in R
379,Leadership Through Design Innovation
380,"Planning, Auditing and Maintaining Enterprise Systems"
381,Creating Models using Smartpls
382,Big History: Connecting Knowledge
383,Algorithms for DNA Sequencing
384,Bioinformatics: Introduction and Methods ?????: ?????
385,Introduction to Machine Learning
386,Autodesk Certified Professional: Civil 3D for Infrastructure Design Exam Prep
387,Understanding International Relations Theory
388,Bioinformatic Methods I
389,Getting Started With Game Development Using PyGame
390,Introduction to Social Media Marketing
391,"Understanding China, 1700-2000: A Data Analytic Approach, Part 2"
392,Advanced Data Structures in Java
393,Introduction to Javascript: The Basics
394,Value Creation: The Carlson-Polizzotto Method
395,SEL for Students: A Path to Social Emotional Well-Being
396,Production Machine Learning Systems
397,Introduction to Cost Accounting
398,Converting Challenges into Opportunities
399,Emerging Trends & Technologies in the Virtual K-12 Classroom
400,Neurolinguistics
401,Basic Modeling for Discrete Optimization
402,Computational Vision
404,Classify Radio Signals from Space using Keras
405,Industrial Biotechnology
406,Data Visualization and Communication with Tableau
407,Relational database systems
409,"Sequences, Time Series and Prediction"
410,Digital Thread: Implementation
411,IBM Data Topology
412,Build a Deep Learning Based Image Classifier with R
413,Machine Learning: Clustering & Retrieval
414,"Global Health Security, Solidarity and Sustainability through the International Health Regulations"
415,Preparing for the Google Cloud Professional Cloud Architect Exam
416,Patient Safety and Quality Improvement: Developing a Systems View (Patient Safety I)
417,Material Processing
418,Recommender Systems Capstone
419,Positive Psychiatry and Mental Health
420,Finance for Non-Financial Managers
421,Convolutional Neural Networks in TensorFlow
422,Soul Beliefs: Causes and Consequences - Unit 2: Belief Systems
423,Agile Projects: Creating User Stories with Value in Taiga
424,Social Pedagogy across Europe
425,Security and Privacy for Big Data - Part 2
426,Corporate Sustainability. Understanding and Seizing the Strategic Opportunity
427,Hearing Loss in Children
428,Scaling Operations: Linking Strategy and Execution
429,Introduction to Human Behavioral Genetics
430,Gathering and Developing the News
431,Healthcare Data Models
432,Biohacking Your Brain's Health
433,Cybersecurity and the X-Factor
434,"Nanotechnology and Nanosensors, Part1"
435,"Capstone MOOC for ""Android App Development"""
436,Meeting Investors' Goals
437,Digital Media and Marketing Principles
438,Digital Signal Processing 4: Applications
439,Introduction to solar cells
440,Mind Control: Managing Your Mental Health During COVID-19
441,Getting Started with AWS Machine Learning
442,Essentials of Corporate Finance Capstone
443,Software Design as an Abstraction
444,"Modern Robotics, Course 3:  Robot Dynamics"
445,Frozen in the Ice: Exploring the Arctic
446,Be Your Best Creative Self
447,Weight Management: Beyond Balancing Calories
448,The Fall and Rise of Jerusalem
449,Hardware Description Languages for FPGA Design
450,Hyperparameter Tuning with Neural Network Intelligence
452,State Estimation and Localization for Self-Driving Cars
453,Business English: Capstone Project
454,Differential Equations for Engineers
455,AstroTech: The Science and Technology behind Astronomical Discovery
456,Learn to Teach Java:  ArrayLists and 2D Arrays
457,Optimizing Your Google Cloud Platform (GCP) Costs
460,Detecting and Mitigating Cyber Threats and Attacks
462,Trading Basics
463,Fundamentals of Fluid-Solid Interactions
464,Solving Complex Problems Capstone
465,"Easing the burden of obesity, diabetes and cardiovascular disease"
466,Ecological and Energy Transitions in Southern Countries
467,Transforming Communities
468,Foundations of Teaching for Learning: Developing Relationships
469,Data Management for Clinical Research
470,The Art of Music Production
471,The Art of Music Production
472,Discounted Cash Flow Modeling
474,Understanding Medical Research: Your Facebook Friend is Wrong
475,Recovering the Humankind's Past and Saving the Universal Heritage
476,The Newborn Assessment
477,Cloud Computing Basics (Cloud 101)
478,Images and Links in HTML
479,EDIVET: Do you have what it takes to be a veterinarian?
480,Foundations of Public Health Practice: The Public Health Approach
481,Analyze Text Data with Yellowbrick
482,Intellectual Change in Early China: Warring States and Han
483,"Literacy Teaching and Learning: Aims, Approaches and Pedagogies"
484,Russian for beginners 1. ??????? ????: A1
485,Draw Insights with Crosstabs Reports in Google Sheets
486,Understanding Russians: Contexts of Intercultural Communication
487,Class Creation in Object Oriented Python
488,Discrete Mathematics
489,Teaching Impacts of Technology: Fundamentals
490,"Fundamentals of Negotiation, with Goldman Sachs 10,000 Women"
491,Introduction to TensorFlow
492,Palo Alto Networks Academy Cybersecurity Foundation
493,Building an Ecosystem model with Insight Maker
494,History of Medical Cannabis
495,Advanced Grammar & Punctuation Project
496,Create Employee Management System with When I Work
497,Practical Machine Learning
498,Practical Machine Learning
499,Web Application Security Testing with OWASP ZAP
500,Teaching Character and Creating Positive Classrooms
501,Front-End JavaScript Frameworks: Angular
502,Developing the Opportunity for Corporate Entrepreneurs
503,TensorFlow for AI: Get to Know Tensorflow
504,Software Processes and Agile Practices
505,"Brand Management: Aligning Business, Brand and Behaviour"
507,"Business Intelligence Concepts, Tools, and Applications"
508,Cybersecurity and Mobility
509,Create UI in Unity Part 1 - Screen Overlay Canvas
510,Organisational behaviour: Know your people
511,Chemerinsky on Constitutional Law � Individual Rights and Liberties
512,Create Power-Ups and Obstacles with C# in Unity
513,Supply Chain Management: A Learning Perspective
514,Linear Circuits 1: DC Analysis
515,3D Printing Applications
516,Intro to Scheduling with When I Work
517,Understanding the Brain: The Neurobiology of Everyday Life
518,Image Compression and Generation using Variational Autoencoders in Python
519,American Deaf Culture
520,Optimize TensorFlow Models For Deployment with TensorRT
521,Non-Communicable Diseases in Humanitarian Settings
522,Reliable Google Cloud Infrastructure: Design and Process
523,Healthcare Organizations and the Health System
524,Financing Infrastructure in African Cities
525,Visual Machine Learning with Yellowbrick
526,Create a Memory Puzzle Game in Python Using Pygame
527,"Responsive Website Basics: Code with HTML, CSS, and JavaScript"
528,Age of Jefferson
529,Children Acquiring Literacy Naturally
530,Practical Time Series Analysis
531,Mathematical Thinking in Computer Science
532,Writing and Editing: Word Choice and Word Order
533,Tableau Public for Project Management and Beyond
534,Automating Real-World Tasks with Python
535,Internet of Things: Communication Technologies
536,Writing in First Person Point of View
537,Fundamentals of Visualization with Tableau
538,Building Modern Java Applications on AWS
540,Power Onboarding
541,Introduction to Cloud Identity
542,Bayesian Statistics: From Concept to Data Analysis
543,Creating Custom Callbacks in Keras
544,Cybersecurity and the Internet of Things
545,Create an FPS Weapon in Unity (Part 2 - Firing Effects)
546,Intimacy of Creativity: Entering the Minds of Composers
547,Understanding child development: from synapse to society
548,Doing Business in Europe
549,Python Programming: A Concise Introduction
550,My Favorite Lectures @ HKUST
551,Performing Data Definition and Manipulation in SQL
552,Object Oriented Programming in Java
553,Object Oriented Programming in Java
554,Children's Human Rights - An Interdisciplinary Introduction
555,Data Management and Visualization
556,Improving Your Statistical Questions
557,Business Transformation with Google Cloud
558,Inspiring and Motivating Individuals
559,"Android App Components - Intents, Activities, and Broadcast Receivers"
560,Averaged-Switch Modeling and Simulation
561,Compare time series predictions of COVID-19 deaths
562,Scheduling Selenium TestNG tests via Jenkins CI/CD tool
563,Build a Simple App in Android Studio with Java
564,Circadian clocks: how rhythms structure life
565,Conversational English Skills
566,Analysis of Business Problems
567,Inferential Statistical Analysis with Python
568,Create Interactive Dashboards with Streamlit and Python
569,Biochemical Principles of Energy Metabolism
570,Global Statistics - Composite Indices for International Comparisons
571,Blockchain Opportunities Beyond Crypto Assets
572,"Interpersonal, Developmental, and Evolutionary Perspectives of the Mind"
573,Accounting Analysis I: The Role of Accounting as an Information System
575,Solving Algorithms for Discrete Optimization
576,Build A Google Firebase Web App (Part II)
577,Getting Started with R
578,JavaScript Strings: Properties and Methods
579,Coaching Practices
580,"Java Inheritance, Composition and Aggregation"
581,"Element, Class, and ID Selectors in CSS"
582,Aromatherapy: Clinical Use of Essential Oils
583,Aromatherapy: Clinical Use of Essential Oils
584,Avatar Psychology for Designers
585,Effective Altruism
586,I/O-efficient algorithms
587,TensorFlow for AI: Computer Vision Basics
588,Diabetes � the Essential Facts
590,"Fundamentals of Operations, with Goldman Sachs 10,000 Women"
591,Corporate finance: Know your numbers 2
592,Management of Fashion and Luxury Companies
593,Geopolitics of Europe
594,Acing the Product Management Interview
595,"Living with Dementia: Impact on Individuals, Caregivers, Communities and Societies"
596,Annual Campaigns: Building a Case for Support
597,Sustainable Tourism � promoting environmental public health
598,Cloud Applications
599,Approaching Music Theory: Melodic Forms and Simple Harmony
600,Blockchain Business Models
601,More Chinese for Beginners
602,Conduct Sales Projections with Seasonality in Google Sheets
603,Practical Predictive Analytics: Models and Methods
604,Predict Sales Revenue with scikit-learn
605,Introduction to Research for Essay Writing
606,"Transmedia Storytelling: Narrative worlds, emerging technologies, and global audiences"
607,Python Basics: Create a Guessing Number Game from Scratch
608,Data Science Ethics
609,Autism Spectrum Disorder
610,Single Page Web Applications with AngularJS
611,Major Engineering Project Performance
612,Network Security & Database Vulnerabilities
613,Computational Neuroscience
614,Asian Environmental Humanities: Landscapes in Transition
615,Writing in English at University
616,Structuring Machine Learning Projects
617,Critical Perspectives on Management
618,RESTful API with HTTP and JavaScript
619,Professionalism in an era of change
620,Climate Adaptation for Human Health
621,Physics 101 - Forces and Kinematics
622,Print and Digital Elements of Design: Branding and User Experience
623,Construction Project Management
624,Parallel Programming in Java
625,Digitalisation in the Aerospace Industry
626,Business English: Networking
627,Chosen Issues in Holocaust History
628,Agile Meets Design Thinking
630,Object-Oriented Data Structures in C++
631,Create a Google Ads Search Campaign
632,Capstone: Create your own professional journalistic portfolio
633,Foundations of marketing analytics
634,Queering the Schoolhouse: LGBTQ+ Inclusion for Educators
635,Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions
638,Organ Donation: From Death to Life
639,Introduction to English Common Law
640,Models & Frameworks to Support Sales Planning
641,Construction Cost Estimating and Cost Control
642,Stalin and Stalinism in Russian History
643,Introduction to Systems Engineering
644,"Modern Robotics, Course 4:  Robot Motion Planning and Control"
645,DDoS Attacks and Defenses
646,Motors and Motor Control Circuits
648,Transfer Learning for Food Classification
649,Social Marketing Capstone Project
650,The Social and Technical Context of Health Informatics
651,Write Professional Emails in English
652,Software Architecture
653,Ethical Social Media
654,"Coding for Designers, Managers, & Entrepreneurs II"
656,"Faster Together, Enhancing the Recruitment of Minorities in Clinical Trials"
657,What does it mean to identify as Transgender or Gender Non-Conforming (TGNC)?
658,Detecting COVID-19 with Chest X-Ray using PyTorch
659,Social Business Model and Planning for Social Innovation
660,Six Sigma Advanced Analyze Phase
661,Information Visualization: Applied Perception
662,"Country Level Economics: Policies, Institutions, and Macroeconomic Performance"
663,Developing FPGA-accelerated cloud applications with SDAccel: Theory
665,Our Earth's Future
667,Humanitarian communication : Addressing key challenges
668,Antimicrobial resistance - theory and methods
669,How to finance your venture ?
670,Mining Quality Prediction Using Machine & Deep Learning
671,Business Model Innovation
673,Build Your Professional ePortfolio in English
674,Healthcare Data Quality and Governance
675,Current Gen 3D Game Prop Production
676,Healing with the Arts
677,Communication Skills for University Success
678,UX (User Experience) Capstone
679,Biomedical Visualisation
680,Ideal Gases
681,Fundamentals of Immunology: Innate Immunity and B-Cell Function
682,Thoracic Oncology
683,Intermediate Object-Oriented Programming for Unity Games
684,Antisemitism: From Its Origins to the Present
685,Chinese for HSK 2
688,Data Science Capstone
689,Data Science Capstone
690,Meaningful Predictive Modeling
691,Current-Mode Control
692,Developing Your Musicianship: Final Project
693,Achieving Your Optimal Performance
695,Global Health and Humanitarianism
696,Preventative Healthcare for the Newborn Baby
697,Expanding SEL
698,Visual Perception for Self-Driving Cars
699,Art & Ideas: Teaching with Themes
700,Disease Screening in Public Health
701,Copyright for Educators & Librarians
702,Arch of Titus: Rome and the Menorah
703,"Providing Social, Emotional, Behavioral, and Special Education Services in School"
704,Infonomics II: Business Information Management and Measurement
705,Civic Engagement in American Democracy
707,Acute and Chronic Rhinosinusitis: A Comprehensive Review
708,The Social Context of Mental Health and Illness
709,Understanding Financial Statements: Company Position
710,Build a Firebase Android Application
711,Plots (Graphics) in R
712,Dog Emotion and Cognition
713,Privacy in the Western World
714,Skepticism
715,Consonants of American English Pronunciation
716,Guitar Performance Techniques
717,Thrive in Trying Times Teach-Out
718,Introduction to Graph Theory
719,Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots
720,Social Media Data Analytics
721,Elastic Google Cloud Infrastructure: Scaling and Automation
722,"Response Surfaces, Mixtures, and Model Building"
723,Local Economic Development
724,Political Economy of Institutions and Development
725,Philosophy and the Sciences: Introduction to the Philosophy of Cognitive Sciences
726,"Grow to Greatness: Smart Growth for Private Businesses, Part I"
727,Evaluate Machine Learning Models with Yellowbrick
728,Business Intelligence and Competitive Analysis
729,Enterprise and Infrastructure Security
730,English for Effective Business Speaking
731,"Raising Capital: Credit Tech, Coin Offerings, and Crowdfunding"
732,Learning How To Learn for Youth
734,Interprofessional Healthcare Informatics
735,Create Your First Python Program
736,Methods and Statistics in Social Science - Final Research Project
737,Basic Elements of Design: Design Principles and Software Overview
738,EMT Foundations
739,Cloud Computing Project
740,Israel State and Society
741,Python Data Representations
742,Bases of the law of obligations (The Russian Federation) Part 1
743,Solar Energy Basics
744,"Javascript animation for websites, storytelling, data visualization and games"
745,Advanced Engineering Systems in Motion: Dynamics of Three Dimensional (3D) Motion
746,Teach English Now! Foundational Principles
747,Teach English Now! Foundational Principles
749,Towards language universals through lexical semantics: introduction to lexical and semantic typology
750,Global Impact: Cultural Psychology
751,Managing an Agile Team
752,Managing an Agile Team
753,Computer Vision: Neural Transfer Style & Green Screen Effect
754,Sensors and Sensor Circuit Design
755,Getting Started with SAS Visual Analytics
756,Cyber-Physical Systems: Modeling and Simulation
757,Predict Ideal Diamonds over Good Diamonds using a Random Forest using R
758,"The Bible's Prehistory, Purpose, and Political Future"
759,Introduction to iOS App Development with Swift 5
760,Community Change in Public Health
761,Six Sigma Tools for Analyze
762,REAL BONES:  Adventures in Forensic Anthropology
763,General Academic English
764,"The American South: Its Stories, Music, and Art"
765,Create Custom Layers in Keras
767,Innovating in a Digital World
768,Introduction to Communication Science
769,Optimization of Topic Models using Grid Search Method
770,Sports and Building Aerodynamics
771,Organisational design: Know your organisation
